      0: global: energy port connected. master: system.energy_mgmt, slave: system.cpu
      0: system.energy_mgmt: Energy Management module initialized!
      0: system.energy_mgmt: Energy profile: ./profile/energy_prof (Time unit: 1000000 ticks)
117000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 892.436
118000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 900.007
119000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 907.579
120000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 915.15
121000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 922.722
122000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 930.293
123000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 937.865
124000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 945.436
125000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 953.007
126000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 960.579
127000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 968.15
128000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 975.722
129000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 983.293
130000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 990.865
131000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 998.436
132000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1006.01
133000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1013.58
134000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1021.15
135000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1028.72
136000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1036.29
137000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1043.87
138000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1051.44
139000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1059.01
140000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1066.58
141000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1074.15
142000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1081.72
